first_name,last_name,password,email,role,gender,birthdate,user_school_id,school_name,grade,class_1,class_2,class_3,class_4
Larry,Henrie,student,Henrie@bayside.demo,Student,male,2014-01-04,18445,Bayside Middle School,6,SPANISH-6A,HISTORY-6D,THEATRE-6A,
Devon,Carter,student,Carter@bayside.demo,Student,male,2013-01-07,18446,Bayside Middle School,6,SPANISH-6A,HISTORY-6D,THEATRE-6A,
Crystal,Khalil,student,Khalil@bayside.demo,Student,female,2013-03-21,18447,Bayside Middle School,6,SPANISH-6A,HISTORY-6D,THEATRE-6A,
Ivy,Chen,student,Chen@bayside.demo,Student,female,2013-06-02,18448,Bayside Middle School,6,SPANISH-6A,HISTORY-6D,THEATRE-6A,
Emmet,Haboucha,student,Haboucha@bayside.demo,Student,male,2014-09-27,18449,Bayside Middle School,6,SPANISH-6A,HISTORY-6D,THEATRE-6A,
Zora,Lawson,student,Lawson@bayside.demo,Student,female,2014-01-14,18450,Bayside Middle School,6,SPANISH-6A,HISTORY-6D,THEATRE-6A,
Serena,Valentine,student,Valentine@bayside.demo,Student,female,2014-07-01,18451,Bayside Middle School,6,SPANISH-6A,HISTORY-6D,THEATRE-6A,
Ricky,Rodrigez,student,Rodrigez@bayside.demo,Student,male,2014-08-24,18452,Bayside Middle School,6,SPANISH-6A,HISTORY-6D,THEATRE-6A,
Nicki,Peterson,student,Peterson@bayside.demo,Student,female,2013-07-26,18453,Bayside Middle School,6,SPANISH-6A,HISTORY-6D,THEATRE-6A,
Muffy,Eckstein,student,Eckstein@bayside.demo,Student,female,2013-07-13,18454,Bayside Middle School,6,SPANISH-6A,HISTORY-6D,THEATRE-6A,
Neil,Flores,student,Flores@bayside.demo,Student,male,2013-01-15,18455,Bayside Middle School,6,SPANISH-6A,HISTORY-6D,THEATRE-6A,
Max,Sites,student,Sites@bayside.demo,Student,male,2013-03-28,18456,Bayside Middle School,6,SPANISH-6A,HISTORY-6D,THEATRE-6A,
Loca,Edwards,student,Edwards@bayside.demo,Student,female,2013-06-10,18457,Bayside Middle School,6,SPANISH-6A,HISTORY-6D,THEATRE-6A,
Amy,Depaolo,teacher,Depaolo@bayside.demo,Teacher,,,18458,Bayside Elementary School,,Grade 03 - Depaolo,,,
Wonjun,Son,student,Son@bayside.demo,Student,male,2016-04-27,18459,Bayside Elementary School,3,Grade 03 - Depaolo,,,
Gabriel,Lopez,student,Lopez@bayside.demo,Student,male,2016-06-10,18460,Bayside Elementary School,3,Grade 03 - Depaolo,,,
Joseph,Sandoval,student,Sandoval@bayside.demo,Student,male,2016-08-23,18461,Bayside Elementary School,3,Grade 03 - Depaolo,,,
Finnegan,Doyle,student,Doyle@bayside.demo,Student,male,2016-10-06,18462,Bayside Elementary School,3,Grade 03 - Depaolo,,,
Siobhan,Flynn,student,Flynn@bayside.demo,Student,female,2016-12-19,18463,Bayside Elementary School,3,Grade 03 - Depaolo,,,
Jabari,Clemons,student,Clemons@bayside.demo,Student,male,2017-03-04,18464,Bayside Elementary School,3,Grade 03 - Depaolo,,,
Addie,Clow,student,Clow@bayside.demo,Student,female,2016-01-10,18465,Bayside Elementary School,3,Grade 03 - Depaolo,,,
Allie,Etheredge,student,Etheredge@bayside.demo,Student,female,2016-03-22,18466,Bayside Elementary School,3,Grade 03 - Depaolo,,,
Morgan,Wells,student,Wells@bayside.demo,Student,female,2016-05-05,18467,Bayside Elementary School,3,Grade 03 - Depaolo,,,
Maya,Desau,student,Desau@bayside.demo,Student,female,2016-07-18,18468,Bayside Elementary School,3,Grade 03 - Depaolo,,,
Larissa,Swing,student,Swing@bayside.demo,Student,female,2016-09-30,18469,Bayside Elementary School,3,Grade 03 - Depaolo,,,
Augustin,Carbonelle,student,Carbonelle@bayside.demo,Student,male,2016-11-12,18470,Bayside Elementary School,3,Grade 03 - Depaolo,,,
Vivian,Shah,student,Shah@bayside.demo,Student,female,2016-02-15,18471,Bayside Elementary School,3,Grade 03 - Depaolo,,,
David,Langhoff,student,Langhoff@bayside.demo,Student,male,2016-04-27,18472,Bayside Elementary School,3,Grade 03 - Depaolo,,,
Declan,Brennan,student,Brennan@bayside.demo,Student,male,2016-06-10,18473,Bayside Elementary School,3,Grade 03 - Depaolo,,,
