id,first_name,last_name,password,email,role,gender,birthdate,user_school_id,school_id,grade
27,Melvin,Nerdly,student,Nerdly@bayside.demo,student,male,2008-10-11,18427,0.0,11.0
28,Jennifer,Slater,student,Slaterj@bayside.demo,student,female,2009-01-18,18428,0.0,11.0
29,Eric,Tramer,student,Tramer@bayside.demo,student,male,2009-03-25,18429,0.0,11.0
30,Nicki,Kapowski,student,Kapowskin@bayside.demo,student,female,2009-06-30,18430,0.0,11.0
31,Rose,Rodriguez,teacher,Rodriguez@bayside.demo,teacher,,,18431,1.0,
32,Ernest,Petrachelli,teacher,Petrachelli@bayside.demo,teacher,,,18432,1.0,
33,Stuart,Grozowtski,teacher,Grozowtski@bayside.demo,teacher,,,18433,1.0,
34,Raven,Baxter,student,Baxter@bayside.demo,student,female,2013-09-27,18434,1.0,6.0
35,Chelsea,Daniels,student,Daniels@bayside.demo,student,female,2014-01-14,18435,1.0,6.0
36,Eddie,Thomas,student,Thomas@bayside.demo,student,male,2014-07-01,18436,1.0,6.0
37,Alana,Rivera,student,Rivera@bayside.demo,student,female,2014-08-24,18437,1.0,6.0
38,Amber,Song,student,Song@bayside.demo,student,female,2013-07-26,18438,1.0,6.0
39,Ben,Sturky,student,Sturky@bayside.demo,student,male,2013-07-13,18439,1.0,6.0
40,Bianca,Rivera,student,Rivera@bayside.demo,student,female,2013-01-15,18440,1.0,6.0
41,Booker,Baxter,student,Baxterb@bayside.demo,student,male,2013-06-10,18442,1.0,6.0
42,Cami,Rivera,student,Rivera@bayside.demo,student,female,2013-08-23,18443,1.0,6.0
43,Chantel,Sidora,student,Sidora@bayside.demo,student,female,2013-10-31,18444,1.0,6.0
44,Larry,Henrie,student,Henrie@bayside.demo,student,male,2014-01-04,18445,1.0,6.0
45,Devon,Carter,student,Carter@bayside.demo,student,male,2013-01-07,18446,1.0,6.0
46,Crystal,Khalil,student,Khalil@bayside.demo,student,female,2013-03-21,18447,1.0,6.0
47,Ivy,Chen,student,Chen@bayside.demo,student,female,2013-06-02,18448,1.0,6.0
48,Emmet,Haboucha,student,Haboucha@bayside.demo,student,male,2014-09-27,18449,1.0,6.0
49,Zora,Lawson,student,Lawson@bayside.demo,student,female,2014-01-14,18450,1.0,6.0
50,Serena,Valentine,student,Valentine@bayside.demo,student,female,2014-07-01,18451,1.0,6.0
51,Ricky,Rodrigez,student,Rodrigez@bayside.demo,student,male,2014-08-24,18452,1.0,6.0
52,Nicki,Peterson,student,Peterson@bayside.demo,student,female,2013-07-26,18453,1.0,6.0
53,Muffy,Eckstein,student,Eckstein@bayside.demo,student,female,2013-07-13,18454,1.0,6.0
54,Neil,Flores,student,Flores@bayside.demo,student,male,2013-01-15,18455,1.0,6.0
55,Max,Sites,student,Sites@bayside.demo,student,male,2013-03-28,18456,1.0,6.0
56,Loca,Edwards,student,Edwards@bayside.demo,student,female,2013-06-10,18457,1.0,6.0
57,Amy,Depaolo,teacher,Depaolo@bayside.demo,teacher,,,18458,2.0,
58,Wonjun,Son,student,Son@bayside.demo,student,male,2016-04-27,18459,2.0,3.0
59,Gabriel,Lopez,student,Lopez@bayside.demo,student,male,2016-06-10,18460,2.0,3.0
60,Joseph,Sandoval,student,Sandoval@bayside.demo,student,male,2016-08-23,18461,2.0,3.0
61,Finnegan,Doyle,student,Doyle@bayside.demo,student,male,2016-10-06,18462,2.0,3.0
62,Siobhan,Flynn,student,Flynn@bayside.demo,student,female,2016-12-19,18463,2.0,3.0
63,Jabari,Clemons,student,Clemons@bayside.demo,student,male,2017-03-04,18464,2.0,3.0
64,Addie,Clow,student,Clow@bayside.demo,student,female,2016-01-10,18465,2.0,3.0
65,Allie,Etheredge,student,Etheredge@bayside.demo,student,female,2016-03-22,18466,2.0,3.0
66,Morgan,Wells,student,Wells@bayside.demo,student,female,2016-05-05,18467,2.0,3.0
67,Maya,Desau,student,Desau@bayside.demo,student,female,2016-07-18,18468,2.0,3.0
68,Larissa,Swing,student,Swing@bayside.demo,student,female,2016-09-30,18469,2.0,3.0
69,Augustin,Carbonelle,student,Carbonelle@bayside.demo,student,male,2016-11-12,18470,2.0,3.0
70,Vivian,Shah,student,Shah@bayside.demo,student,female,2016-02-15,18471,2.0,3.0
71,David,Langhoff,student,Langhoff@bayside.demo,student,male,2016-04-27,18472,2.0,3.0
72,Declan,Brennan,student,Brennan@bayside.demo,student,male,2016-06-10,18473,2.0,3.0
